x_m,y_m,height_m,estimated_friction,scm_sinkage_demo_m,source
2.700,0.200,-0.09506,0.5521,0.00221,pychrono
2.700,0.300,-0.09032,0.5555,0.00192,pychrono
2.700,0.400,-0.08380,0.5601,0.00157,pychrono
2.700,0.500,-0.07565,0.5660,0.00121,pychrono
2.700,0.600,-0.06602,0.5728,0.00089,pychrono
2.700,0.700,-0.05510,0.5806,0.00061,pychrono
2.700,0.800,-0.04309,0.5892,0.00040,pychrono
2.700,0.900,-0.03025,0.5984,0.00025,pychrono
2.700,1.000,-0.01681,0.6080,0.00014,pychrono
2.700,1.100,-0.00305,0.6178,0.00008,pychrono
2.700,1.200,0.01078,0.6123,0.00004,pychrono
2.700,1.300,0.02440,0.6026,0.00002,pychrono
2.700,1.400,0.03753,0.5932,0.00001,pychrono
2.700,1.500,0.04994,0.5843,0.00000,pychrono
2.700,1.600,0.06136,0.5762,0.00000,pychrono
2.700,1.700,0.07159,0.5689,0.00000,pychrono
2.700,1.800,0.08041,0.5626,0.00000,pychrono
2.700,1.900,0.08766,0.5574,0.00000,pychrono
2.700,2.000,0.09320,0.5534,0.00000,pychrono
2.800,-2.000,0.08921,0.5563,0.00000,pychrono
2.800,-1.900,0.08391,0.5601,0.00000,pychrono
2.800,-1.800,0.07697,0.5650,0.00000,pychrono
2.800,-1.700,0.06852,0.5711,0.00000,pychrono
2.800,-1.600,0.05874,0.5780,0.00000,pychrono
2.800,-1.500,0.04780,0.5859,0.00000,pychrono
2.800,-1.400,0.03593,0.5943,0.00001,pychrono
2.800,-1.300,0.02335,0.6033,0.00001,pychrono
2.800,-1.200,0.01032,0.6126,0.00003,pychrono
2.800,-1.100,-0.00292,0.6179,0.00006,pychrono
2.800,-1.000,-0.01609,0.6085,0.00010,pychrono
2.800,-0.900,-0.02896,0.5993,0.00017,pychrono
2.800,-0.800,-0.04125,0.5905,0.00028,pychrono
2.800,-0.700,-0.05274,0.5823,0.00044,pychrono
2.800,-0.600,-0.06320,0.5749,0.00063,pychrono
2.800,-0.500,-0.07242,0.5683,0.00086,pychrono
2.800,-0.400,-0.08022,0.5627,0.00112,pychrono
2.800,-0.300,-0.08645,0.5582,0.00137,pychrono
2.800,-0.200,-0.09099,0.5550,0.00157,pychrono
2.800,-0.100,-0.09376,0.5530,0.00172,pychrono
2.800,0.000,-0.09468,0.5524,0.00177,pychrono
2.800,0.100,-0.09376,0.5530,0.00172,pychrono
2.800,0.200,-0.09099,0.5550,0.00157,pychrono
2.800,0.300,-0.08645,0.5582,0.00137,pychrono
2.800,0.400,-0.08022,0.5627,0.00112,pychrono
2.800,0.500,-0.07242,0.5683,0.00086,pychrono
2.800,0.600,-0.06320,0.5749,0.00063,pychrono
2.800,0.700,-0.05274,0.5823,0.00044,pychrono
2.800,0.800,-0.04125,0.5905,0.00028,pychrono
2.800,0.900,-0.02896,0.5993,0.00017,pychrono
2.800,1.000,-0.01609,0.6085,0.00010,pychrono
2.800,1.100,-0.00292,0.6179,0.00006,pychrono
2.800,1.200,0.01032,0.6126,0.00003,pychrono
2.800,1.300,0.02335,0.6033,0.00001,pychrono
2.800,1.400,0.03593,0.5943,0.00001,pychrono
2.800,1.500,0.04780,0.5859,0.00000,pychrono
2.800,1.600,0.05874,0.5780,0.00000,pychrono
2.800,1.700,0.06852,0.5711,0.00000,pychrono
2.800,1.800,0.07697,0.5650,0.00000,pychrono
2.800,1.900,0.08391,0.5601,0.00000,pychrono
2.800,2.000,0.08921,0.5563,0.00000,pychrono
2.900,-2.000,0.08234,0.5612,0.00000,pychrono
2.900,-1.900,0.07745,0.5647,0.00000,pychrono
2.900,-1.800,0.07104,0.5693,0.00000,pychrono
2.900,-1.700,0.06325,0.5748,0.00000,pychrono
2.900,-1.600,0.05421,0.5813,0.00000,pychrono
2.900,-1.500,0.04412,0.5885,0.00000,pychrono
2.900,-1.400,0.03316,0.5963,0.00000,pychrono
2.900,-1.300,0.02155,0.6046,0.00001,pychrono
2.900,-1.200,0.00952,0.6132,0.00002,pychrono
2.900,-1.100,-0.00269,0.6181,0.00004,pychrono
2.900,-1.000,-0.01485,0.6094,0.00007,pychrono
2.900,-0.900,-0.02673,0.6009,0.00012,pychrono
2.900,-0.800,-0.03807,0.5928,0.00020,pychrono
2.900,-0.700,-0.04868,0.5852,0.00031,pychrono
2.900,-0.600,-0.05833,0.5783,0.00044,pychrono
2.900,-0.500,-0.06684,0.5723,0.00061,pychrono
2.900,-0.400,-0.07404,0.5671,0.00079,pychrono
2.900,-0.300,-0.07980,0.5630,0.00096,pychrono
2.900,-0.200,-0.08399,0.5600,0.00111,pychrono
2.900,-0.100,-0.08654,0.5582,0.00121,pychrono
2.900,0.000,-0.08739,0.5576,0.00124,pychrono
2.900,0.100,-0.08654,0.5582,0.00121,pychrono
2.900,0.200,-0.08399,0.5600,0.00111,pychrono
2.900,0.300,-0.07980,0.5630,0.00096,pychrono
2.900,0.400,-0.07404,0.5671,0.00079,pychrono
2.900,0.500,-0.06684,0.5723,0.00061,pychrono
2.900,0.600,-0.05833,0.5783,0.00044,pychrono
2.900,0.700,-0.04868,0.5852,0.00031,pychrono
2.900,0.800,-0.03807,0.5928,0.00020,pychrono
2.900,0.900,-0.02673,0.6009,0.00012,pychrono
2.900,1.000,-0.01485,0.6094,0.00007,pychrono
2.900,1.100,-0.00269,0.6181,0.00004,pychrono
2.900,1.200,0.00952,0.6132,0.00002,pychrono
2.900,1.300,0.02155,0.6046,0.00001,pychrono
2.900,1.400,0.03316,0.5963,0.00000,pychrono
2.900,1.500,0.04412,0.5885,0.00000,pychrono
2.900,1.600,0.05421,0.5813,0.00000,pychrono
2.900,1.700,0.06325,0.5748,0.00000,pychrono
2.900,1.800,0.07104,0.5693,0.00000,pychrono
2.900,1.900,0.07745,0.5647,0.00000,pychrono
2.900,2.000,0.08234,0.5612,0.00000,pychrono
3.000,-2.000,0.07281,0.5680,0.00000,pychrono
3.000,-1.900,0.06849,0.5711,0.00000,pychrono
3.000,-1.800,0.06282,0.5751,0.00000,pychrono
3.000,-1.700,0.05593,0.5801,0.00000,pychrono
3.000,-1.600,0.04794,0.5858,0.00000,pychrono
3.000,-1.500,0.03901,0.5921,0.00000,pychrono
3.000,-1.400,0.02932,0.5991,0.00000,pychrono
3.000,-1.300,0.01906,0.6064,0.00001,pychrono
3.000,-1.200,0.00842,0.6140,0.00001,pychrono
3.000,-1.100,-0.00238,0.6183,0.00003,pychrono
3.000,-1.000,-0.01313,0.6106,0.00005,pychrono
3.000,-0.900,-0.02363,0.6031,0.00008,pychrono
3.000,-0.800,-0.03367,0.5960,0.00014,pychrono
3.000,-0.700,-0.04304,0.5893,0.00021,pychrono
3.000,-0.600,-0.05158,0.5832,0.00031,pychrono
3.000,-0.500,-0.05910,0.5778,0.00042,pychrono
3.000,-0.400,-0.06547,0.5732,0.00054,pychrono
3.000,-0.300,-0.07056,0.5696,0.00066,pychrono
3.000,-0.200,-0.07427,0.5670,0.00077,pychrono
3.000,-0.100,-0.07652,0.5653,0.00084,pychrono
3.000,0.000,-0.07728,0.5648,0.00086,pychrono
3.000,0.100,-0.07652,0.5653,0.00084,pychrono
3.000,0.200,-0.07427,0.5670,0.00077,pychrono
3.000,0.300,-0.07056,0.5696,0.00066,pychrono
3.000,0.400,-0.06547,0.5732,0.00054,pychrono
3.000,0.500,-0.05910,0.5778,0.00042,pychrono
3.000,0.600,-0.05158,0.5832,0.00031,pychrono
3.000,0.700,-0.04304,0.5893,0.00021,pychrono
3.000,0.800,-0.03367,0.5960,0.00014,pychrono
3.000,0.900,-0.02363,0.6031,0.00008,pychrono
3.000,1.000,-0.01313,0.6106,0.00005,pychrono
3.000,1.100,-0.00238,0.6183,0.00003,pychrono
3.000,1.200,0.00842,0.6140,0.00001,pychrono
3.000,1.300,0.01906,0.6064,0.00001,pychrono
3.000,1.400,0.02932,0.5991,0.00000,pychrono
3.000,1.500,0.03901,0.5921,0.00000,pychrono
3.000,1.600,0.04794,0.5858,0.00000,pychrono
3.000,1.700,0.05593,0.5801,0.00000,pychrono
3.000,1.800,0.06282,0.5751,0.00000,pychrono
3.000,1.900,0.06849,0.5711,0.00000,pychrono
3.000,2.000,0.07281,0.5680,0.00000,pychrono
